"data_point_number","data_point_code","name_en","name_zh","legal_source","ev_status","lmt_status","industrial_status","chapter","data_level","data_type","unit","access","dynamic","canonical_field_code","legacy_field_codes","mapping_quality","field_origin","evidence_required","expert_review_status","expert_review_note","source_note"
"19","DP-19","Responsible sourcing information in the battery due diligence report","电池尽职调查报告中的负责任采购信息","BR Annex XIII 1(d)","future","future","future","sustainability","model","uri","","public","false","battery.information_of_due_diligence_report","","A","eu_guidance_v2","true","pending","Confirm Article 48 applicability and effective date.","Not to be filled/displayed as of February 2027; Article 48(1) applies from August 2027."
"20","DP-20","Recovered cobalt share in active materials","活性材料中的再生钴占比","BR Annex XIII 1(e)","future","future","future","sustainability","batch","decimal","%","public","false","battery.recovered_cobalt_share","battery.pre_consumer_recycled_cobalt_share|battery.post_consumer_recycled_cobalt_share","B","eu_guidance_v2","true","pending","Do not combine pre- and post-consumer values without an approved method.","Not to be filled/displayed as of February 2027; apply with Article 8 and the relevant delegated act."
"21","DP-21","Recovered lithium share in active materials","活性材料中的再生锂占比","BR Annex XIII 1(e)","future","future","future","sustainability","batch","decimal","%","public","false","battery.recovered_lithium_share","battery.pre_consumer_recycled_lithium_share|battery.post_consumer_recycled_lithium_share","B","eu_guidance_v2","true","pending","Do not combine pre- and post-consumer values without an approved method.","Not to be filled/displayed as of February 2027; apply with Article 8 and the relevant delegated act."
"22","DP-22","Recovered nickel share in active materials","活性材料中的再生镍占比","BR Annex XIII 1(e)","future","future","future","sustainability","batch","decimal","%","public","false","battery.recovered_nickel_share","battery.pre_consumer_recycled_nickel_share|battery.post_consumer_recycled_nickel_share","B","eu_guidance_v2","true","pending","Do not combine pre- and post-consumer values without an approved method.","Not to be filled/displayed as of February 2027; apply with Article 8 and the relevant delegated act."
"23","DP-23","Recovered lead share in the battery","电池中的再生铅占比","BR Annex XIII 1(e)","future","future","future","sustainability","batch","decimal","%","public","false","battery.recycled_lead_share","","A","eu_guidance_v2","true","pending","Confirm the delegated-act calculation method.","Not to be filled/displayed as of February 2027; apply with Article 8 and the relevant delegated act."
"24","DP-24","Share of renewable content","可再生来源含量占比","BR Annex XIII 1(f)","mandatory","mandatory","mandatory","sustainability","batch","decimal","%","public","false","battery.renewable_content_share","","A","eu_guidance_v2","true","pending","Confirm definition and calculation basis.","Mandatory for EV, LMT and industrial batteries."
"25","DP-25","Rated capacity (Ah)","额定容量（Ah）","BR Annex XIII 1(g)","duplicate","duplicate","duplicate","performance","model","decimal","Ah","public","false","battery.rated_capacity","","D","eu_guidance_v2","false","not_required","","Do not fill/display; repeats data point 11."
"26","DP-26","Minimal voltage, with temperature range when relevant","最低电压（相关时含温度范围）","BR Annex XIII 1(h)","mandatory","mandatory","mandatory","performance","model","object","V","public","false","battery.minimum_voltage","","A","eu_guidance_v2","true","pending","Confirm temperature boundaries where relevant.","Mandatory for EV, LMT and industrial batteries."
"27","DP-27","Nominal voltage, with temperature range when relevant","标称电压（相关时含温度范围）","BR Annex XIII 1(h)","mandatory","mandatory","mandatory","performance","model","object","V","public","false","battery.nominal_voltage","","A","eu_guidance_v2","true","pending","Confirm temperature boundaries where relevant.","Mandatory for EV, LMT and industrial batteries."
"28","DP-28","Maximum voltage, with temperature range when relevant","最高电压（相关时含温度范围）","BR Annex XIII 1(h)","mandatory","mandatory","mandatory","performance","model","object","V","public","false","battery.maximum_voltage","","A","eu_guidance_v2","true","pending","Confirm temperature boundaries where relevant.","Mandatory for EV, LMT and industrial batteries."
"29","DP-29","Original power capability","初始功率能力","BR Annex XIII 1(i)","mandatory","mandatory","mandatory","performance","model","object","W","public","false","battery.original_power_capability","","A","eu_guidance_v2","true","pending","Confirm the reference conditions.","Mandatory for EV, LMT and industrial batteries."
"30","DP-30","Power limits, with temperature range when relevant","功率限制（相关时含温度范围）","BR Annex XIII 1(i)","mandatory","mandatory","mandatory","performance","model","object","W","public","false","battery.maximum_permitted_battery_power","","A","eu_guidance_v2","true","pending","Confirm all applicable power and temperature limits.","Mandatory for EV, LMT and industrial batteries."
"31","DP-31","Expected battery lifetime expressed in cycles","以循环次数表示的预期电池寿命","BR Annex XIII 1(j)","mandatory","mandatory","conditional","performance","model","integer","cycles","public","false","battery.expected_lifetime_number_of_charge_discharge_cycles","","A","eu_guidance_v2","true","pending","Confirm industrial applicability and reference conditions.","For industrial batteries, applicable where lifetime can be expressed in cycles."
"32","DP-32","Reference test for expected battery lifetime in cycles","预期循环寿命的参考测试","BR Annex XIII 1(j)","mandatory","mandatory","conditional","performance","model","string","","professional","false","battery.cycle_life_reference_test","","A","eu_guidance_v2","true","pending","Confirm test standard, version and conditions.","For industrial batteries, applicable where lifetime can be expressed in cycles."
"33","DP-33","Capacity threshold for exhaustion","容量衰竭阈值","BR Annex XIII 1(k)","mandatory","not_applicable","not_applicable","performance","model","decimal","%","public","false","battery.capacity_threshold_for_exhaustion","","A","eu_guidance_v2","true","pending","EV-only data point under this guidance.","Mandatory for EV; not to be filled/displayed for LMT and industrial batteries."
"34","DP-34","Temperature range the battery can withstand when not in use","电池闲置时可承受的温度范围","BR Annex XIII 1(l)","mandatory","mandatory","mandatory","performance","model","object","°C","public","false","battery.idle_temperature_range","battery.temperature_range_idle_state_lower_boundary|battery.temperature_range_idle_state_upper_boundary","B","eu_guidance_v2","true","pending","Store lower and upper boundaries with the reference test.","Reference-test temperature range is mandatory for all three categories."
"35","DP-35","Commercial warranty period for calendar life","日历寿命商业质保期","BR Annex XIII 1(m)","conditional","conditional","conditional","performance","model","string","","public","false","battery.warranty_period_of_the_battery","","A","eu_guidance_v2","true","pending","Mark not applicable when no commercial warranty exists.","Applicable where a commercial warranty is envisaged."
"36","DP-36","Initial round trip energy efficiency","初始往返能量效率","BR Annex XIII 1(n)","mandatory","mandatory","conditional","performance","model","decimal","%","public","false","battery.initial_round_trip_energy_efficiency","","A","eu_guidance_v2","true","pending","Confirm industrial applicability and test conditions.","For industrial batteries, applicable only to relevant battery designs."
"37","DP-37","Round trip energy efficiency at 50% of cycle life","循环寿命 50% 时的往返能量效率","BR Annex XIII 1(n)","mandatory","mandatory","conditional","performance","model","decimal","%","public","false","battery.round_trip_energy_efficiency_at_50_of_cycle_life","","A","eu_guidance_v2","true","pending","Confirm industrial applicability and test conditions.","For industrial batteries, applicable only to relevant battery designs."
"38","DP-38","Internal battery cell and pack resistance","电芯及电池包内阻","BR Annex XIII 1(o)","mandatory","mandatory","mandatory","performance","model","object","Ω","professional","false","battery.initial_internal_resistance_of_battery_cell_and_pack_module_recommended","","A","eu_guidance_v2","true","pending","Separate cell and pack values where available.","Mandatory for EV, LMT and industrial batteries."
"39","DP-39","C-rate of the relevant cycle-life test","相关循环寿命测试的倍率","BR Annex XIII 1(p)","mandatory","mandatory","conditional","performance","model","decimal","C-rate","professional","false","battery.c_rate_of_relevant_cycle_life_test","","A","eu_guidance_v2","true","pending","Confirm test method and industrial applicability.","For industrial batteries, applicable only to relevant battery designs."
"40","DP-40","Marking requirements in Article 13(4)","第 13(4) 条标识要求","BR Annex XIII 1(q)","mandatory","mandatory","mandatory","safety","model","uri","","public","false","battery.separate_collection_symbol","battery.meaning_of_labels_and_symbols","B","eu_guidance_v2","true","pending","Review complete Article 13(4) marking coverage.","Mandatory for EV, LMT and industrial batteries."
"41","DP-41","Cadmium or lead symbol under Article 13(5)","第 13(5) 条镉或铅化学符号","BR Annex XIII 1(q)","conditional","conditional","conditional","safety","model","uri","","public","false","battery.symbols_for_cadmium_and_lead","","A","eu_guidance_v2","true","pending","Confirm threshold applicability before marking not applicable.","Applicable where the cadmium or lead threshold requires the symbol."
"42","DP-42","EU declaration of conformity","欧盟符合性声明","BR Annex XIII 1(r)","mandatory","mandatory","mandatory","safety","model","uri","","public","false","battery.eu_declaration_of_conformity","","A","eu_guidance_v2","true","pending","Verify signed declaration, version and scope.","Declaration referred to in Article 18."
"43","DP-43","Prevention and management information for waste batteries","废旧电池预防与管理信息","BR Annex XIII 1(s)","mandatory","mandatory","mandatory","safety","model","object","","public","false","battery.waste_battery_prevention_and_management_information","battery.information_on_the_role_of_end_users_in_contributing_to_waste_prevention|battery.information_on_the_role_of_end_users_in_contributing_to_the_separate_collection_of_waste_batteries|battery.information_on_battery_collection_preparation_for_second_life_and_on_treatment_at_end_of_life","B","eu_guidance_v2","true","pending","Confirm all six Article 74(1) information elements.","Information laid down in Article 74(1)(a) to (f)."
"44","DP-44","Printable, downloadable and savable instructions for use","可打印、下载和保存的使用说明","BR Annex XIII 1(t)","future","future","future","safety","model","uri","","public","false","battery.instructions_for_use","","E","eu_guidance_v2","true","pending","Await final application provisions.","Not to be filled/displayed as of February 2027; application provisions are on hold pending Omnibus adoption."
"45","DP-45","Detailed composition of cathode, anode and electrolyte","正极、负极和电解质的详细组成","BR Annex XIII 2(a)","mandatory","mandatory","mandatory","materials","model","object","","professional","false","battery.materials_used_in_cathode_anode_and_electrolyte","","A","eu_guidance_v2","true","pending","Confirm composition depth and confidential-data access policy.","Mandatory for EV, LMT and industrial batteries."
"46","DP-46","Part numbers for components","组件零件编号","BR Annex XIII 2(b)","mandatory","mandatory","mandatory","repair","model","array","","professional","false","battery.part_numbers_for_components","","A","eu_guidance_v2","false","pending","Confirm component scope and revision control.","Mandatory for EV, LMT and industrial batteries."
"47","DP-47","Contact details of sources for replacement spares","替换备件来源联系方式","BR Annex XIII 2(b)","mandatory","mandatory","mandatory","repair","model","array","","professional","false","battery.information_on_sources_of_spare_parts","","A","eu_guidance_v2","false","pending","Confirm contacts are maintained and actionable.","Mandatory for EV, LMT and industrial batteries."
"48","DP-48","Dismantling information","拆解信息","BR Annex XIII 2(c)","mandatory","mandatory","mandatory","repair","model","uri","","professional","false","battery.dismantling_information_manuals_for_the_removal_and_the_disassembly_of_the_battery_pack","","A","eu_guidance_v2","true","pending","Verify all minimum dismantling elements are covered.","Include exploded diagrams, disassembly sequence, fasteners, tools, damage warnings, cell count and layout."
"49","DP-49","Safety measures","安全措施","BR Annex XIII 2(d)","mandatory","mandatory","mandatory","safety","model","uri","","professional","false","battery.safety_measures","","A","eu_guidance_v2","true","pending","Confirm measures for transport, service, dismantling and emergencies.","Mandatory for EV, LMT and industrial batteries."
"50","DP-50","Results of test reports proving compliance","证明合规的测试报告结果","BR Annex XIII 3","mandatory","mandatory","mandatory","evidence","model","array","","regulator","false","battery.results_of_test_reports_proving_compliance","","A","eu_guidance_v2","true","pending","Verify report issuer, scope, version and result.","Covers Regulation requirements and delegated or implementing acts adopted under it."
"51","DP-51","Rated capacity (dynamic)","额定容量（动态值）","BR Annex XIII 4(a)","mandatory","mandatory","conditional","health","individual","decimal","Ah","professional","true","battery.dynamic_rated_capacity","battery.rated_capacity","E","eu_guidance_v2","false","pending","Use item-level measurements; do not overwrite the static rated declaration.","Same concept as data point 11, but recorded dynamically; industrial batteries where applicable."
"52","DP-52","Capacity fade","容量衰减","BR Annex XIII 4(a)","mandatory","mandatory","conditional","health","individual","decimal","%","professional","true","battery.capacity_fade","","E","eu_guidance_v2","false","pending","Migrate legacy static values to item-level snapshots.","Industrial batteries where applicable."
"53","DP-53","Power","当前功率能力","BR Annex XIII 4(a)","mandatory","mandatory","conditional","health","individual","decimal","W","professional","true","battery.remaining_power_capability","","A","eu_guidance_v2","false","pending","Confirm measurement basis and state-of-charge conditions.","Industrial batteries where applicable."
"54","DP-54","Power fade","功率衰减","BR Annex XIII 4(a)","mandatory","mandatory","conditional","health","individual","decimal","%","professional","true","battery.power_fade","","E","eu_guidance_v2","false","pending","Migrate legacy static values to item-level snapshots.","Industrial batteries where applicable."
"55","DP-55","Internal resistance","当前内阻","BR Annex XIII 4(a)","mandatory","mandatory","conditional","health","individual","decimal","Ω","professional","true","battery.current_internal_resistance","battery.initial_internal_resistance_of_battery_cell_and_pack_module_recommended","E","eu_guidance_v2","false","pending","Keep current resistance separate from initial reference resistance.","Industrial batteries where applicable."
"56","DP-56","Internal resistance increase","内阻增长","BR Annex XIII 4(a)","mandatory","mandatory","conditional","health","individual","decimal","%","professional","true","battery.internal_resistance_increase_of_pack_cell_and_module_recommended","","E","eu_guidance_v2","false","pending","Migrate legacy static values to item-level snapshots.","Industrial batteries where applicable."
"57","DP-57","Energy round trip efficiency","当前往返能量效率","BR Annex XIII 4(a)","conditional","conditional","conditional","health","individual","decimal","%","professional","true","battery.remaining_round_trip_energy_efficiency","","A","eu_guidance_v2","false","pending","Record not applicable only after technical review.","Applicable where this technical parameter is relevant."
"58","DP-58","Energy round trip efficiency fade","往返能量效率衰减","BR Annex XIII 4(a)","conditional","conditional","conditional","health","individual","decimal","%","professional","true","battery.energy_round_trip_efficiency_fade","","E","eu_guidance_v2","false","pending","Migrate legacy static values to item-level snapshots.","Applicable where this technical parameter is relevant."
"59","DP-59","Expected lifetime under reference conditions in cycles","参考条件下以循环次数表示的预期寿命","BR Annex XIII 4(a)","mandatory","mandatory","conditional","performance","model","integer","cycles","professional","false","battery.expected_lifetime_number_of_charge_discharge_cycles","","B","eu_guidance_v2","true","pending","Related to DP31; preserve the Annex XIII 4(a) context.","Except non-cycle applications; industrial batteries where applicable."
"60","DP-60","Expected lifetime under reference conditions in calendar years","参考条件下以日历年表示的预期寿命","BR Annex XIII 4(a)","mandatory","mandatory","conditional","performance","model","decimal","years","professional","false","battery.expected_lifetime_in_calendar_years","","A","eu_guidance_v2","true","pending","Confirm reference conditions and industrial applicability.","Industrial batteries where applicable."
"61","DP-61","State of certified energy (SOCE)","认证能量状态（SOCE）","BR Annex XIII 4(b)","mandatory","not_applicable","not_applicable","health","individual","decimal","%","professional","true","battery.state_of_certified_energy_soce","","A","eu_guidance_v2","false","pending","EV-only data point under this guidance.","Mandatory for EV; not to be filled/displayed for LMT and industrial batteries."
"62","DP-62","Remaining capacity","剩余容量","BR Annex XIII 4(b)","not_applicable","mandatory","conditional","health","individual","decimal","Ah","professional","true","battery.remaining_capacity","","A","eu_guidance_v2","false","pending","Confirm industrial applicability.","Not displayed for EV; mandatory for LMT; industrial batteries where applicable."
"63","DP-63","Remaining power capability","剩余功率能力","BR Annex XIII 4(b)","not_applicable","mandatory","conditional","health","individual","decimal","W","professional","true","battery.remaining_power_capability","","A","eu_guidance_v2","false","pending","Confirm industrial applicability and measurement conditions.","Not displayed for EV; mandatory for LMT; industrial batteries where applicable and possible."
"64","DP-64","Remaining round trip efficiency","剩余往返能量效率","BR Annex XIII 4(b)","not_applicable","mandatory","conditional","health","individual","decimal","%","professional","true","battery.remaining_round_trip_energy_efficiency","","A","eu_guidance_v2","false","pending","Confirm industrial applicability.","Not displayed for EV; mandatory for LMT; industrial batteries where applicable and possible."
"65","DP-65","Evolution of self-discharging rates","自放电率变化","BR Annex XIII 4(b)","not_applicable","mandatory","conditional","health","individual","decimal","%","professional","true","battery.evolution_of_self_discharge_rates","","A","eu_guidance_v2","false","pending","Confirm industrial applicability and observation period.","Not displayed for EV; mandatory for LMT; industrial batteries where applicable and possible."
"66","DP-66","Ohmic resistance","欧姆内阻","BR Annex XIII 4(b)","not_applicable","mandatory","conditional","health","individual","decimal","Ω","professional","true","battery.current_internal_resistance","","C","eu_guidance_v2","false","pending","Confirm terminology and industrial applicability.","Not displayed for EV; mandatory for LMT; industrial batteries where applicable and possible."
"67","DP-67","Battery lifecycle status","电池生命周期状态","BR Annex XIII 4(c)","mandatory","mandatory","mandatory","lifecycle","lifecycle","string","","public","true","battery.battery_status","","A","eu_guidance_v2","true","pending","Keep separate from the passport record publication status.","Allowed values: original, repurposed, re-used, remanufactured or waste."
"68","DP-68","Number of charging and discharging cycles","充放电循环次数","BR Annex XIII 4(d)","conditional","conditional","conditional","lifecycle","individual","integer","cycles","professional","true","battery.number_of_full_charging_and_discharging_cycles","","A","eu_guidance_v2","false","pending","Confirm counter definition and reset policy.","Applicable where this information is relevant and recorded."
"69","DP-69","Negative events such as accidents","事故等负面事件","BR Annex XIII 4(d)","conditional","conditional","conditional","lifecycle","lifecycle","array","","professional","true","battery.information_on_accidents","","A","eu_guidance_v2","true","pending","Retain event time, source and evidence.","Applicable where a negative event has occurred."
"70","DP-70","Periodically recorded operating environmental conditions, including temperature","定期记录的运行环境条件（含温度）","BR Annex XIII 4(d)","conditional","conditional","conditional","health","individual","object","°C","professional","true","battery.temperature_information","","A","eu_guidance_v2","false","pending","Preserve observation time, source device and environmental context.","Applicable where operating environmental conditions are recorded."
"71","DP-71","Periodically recorded state of charge","定期记录的荷电状态","BR Annex XIII 4(d)","conditional","conditional","conditional","health","individual","decimal","%","professional","true","battery.state_of_charge_soc","","A","eu_guidance_v2","false","pending","Preserve observation time and source device.","Applicable where state of charge is periodically recorded."
